index,mean,std
BCEXTTAU,0.0061114016,0.026298018
BCSMASS,1.990831e-10,7.85214e-09
DUEXTTAU,0.031887174,0.06674797
DUSMASS,1.2476056e-08,6.721627e-08
OCEXTTAU,0.040860318,0.26095527
OCSMASS,3.0114615e-09,1.7289777e-07
SO4SMASS,7.4608786e-10,1.6693932e-09
SSEXTTAU,0.03579333,0.049869925
SSSMASS,2.9364273e-08,4.2377565e-08
SUEXTTAU,0.041980494,0.056935314
TOTEXTTAU,0.15663284,0.3231503
TOTSCATAU,0.14930964,0.29764727
QLML,0.007202141,0.0059134867
TLML,278.44647,22.317533
ULML,0.12360179,6.8447704
VLML,0.55396104,5.9837995
PRECTOT,2.919822e-05,0.00012643708
QV_45,0.00019417603,0.00027522183
QV_48,0.0005787936,0.00084698835
QV_51,0.0012005849,0.0015766224
QV_53,0.0017568137,0.002100182
QV_56,0.002625775,0.0027742945
QV_60,0.004037092,0.0036250236
QV_63,0.005013981,0.004231031
QV_68,0.0064377934,0.00536571
QV_72,0.007201419,0.005911905
SLP,100677.1,1562.2622
T_45,230.57057,11.807534
T_48,244.9192,14.518428
T_51,255.87396,14.978438
T_53,261.72818,15.173718
T_56,267.51068,15.796185
T_60,271.9082,16.7334
T_63,273.68597,17.01094
T_68,276.7566,17.922844
T_72,278.45923,22.342003
U_45,12.700751,15.815336
U_48,8.622151,13.186006
U_51,6.1820235,11.347189
U_53,4.926058,10.453086
U_56,3.581457,9.526849
U_60,2.1157224,8.924685
U_63,1.4428148,8.815928
U_68,0.6759283,8.57065
U_72,0.1368148,6.67867
V_45,0.027123582,12.464863
V_48,-0.098953806,9.975212
V_51,-0.0013860774,7.867511
V_53,-0.05687359,7.005021
V_56,-0.026756164,6.287968
V_60,0.18634824,6.011956
V_63,0.3328408,6.175742
V_68,0.38494337,6.6911283
V_72,0.533824,5.767763
